2.ふたりの老女の会話

録音年月　1964年6月
録音場所　話し手1の自宅

（5） 「無題」

話し手
（略号）　（性別）　（年令）　（職業）　（居住歴）
　１　　　　女　　　　60台　　　無職　　　はえぬき
　３　　　　女　　　　50台　　　無職　　　はえぬき

解説：ふたりの老女がとりとめもなく、それぞれが、自分の身辺や
過去・現在の心境について語っている。

1104510|１|maa buqsicuniwa kiria naisi ne （３ NN） kinoomo sonai omote watasimo ne （３ hee） joo kaiqte kite ne maamaa kono ma asia taqsjajasi ma tea iokerusi maamaa kjoomo haqte icinici kosite maa dekite ariatai naa tomote kaiqte kitaNdesukedo nee （３ hNNhNN） jaqpari koo miNna so jute ne ko si tosia ikuto jaqpari kono wazuroote neteru hitono kotonaNka omouto watasitaci ne （３ hNN） jaqpari kore （３ hNN） kaNsja sena ikaN naato omouNdoqse|まあ　物質には　きりが　ないし　ね、きのうも　そんなに　思って　わたしも　ね、よく　帰って　きて　ね　まあまあ　この　まあ　足が　達者だし　まあ　手が　動けるし　まあまあ　きょうも　こうして　一日　こうして　まあ　でき、ありがたい　なあ　と思って　来たんですけど　ねえ　やっぱり　こう　みんな　そう　いって　ね　こう　年が　いくと　やっぱり　これ　感謝　しなければ　いけない　なあと　思うんですよ。
1104601|３|hoNmani ano soo dosu na （１ hNN）|ほんとに　あの　そう　です　ね。
1104602|１|ma aNtamo maa zja geNkini naq narahaqtasi…|ま　あなたも　まあ　じゃ　元気に　なっ、なられたし…　
1104603|３|NN moo atasimo （１ hNN） anoo bjooki site nee e mo bjookia naoqtekara moo doko iqtemo anoo maa mooto motomotodoorini naqtajoqteni （１ hNN） jorosi naa juute nee juute kureharimasujoqteni jorokoNdemasuno|もう　あたしも　あの　病気　して　ねえ、もう　病気が　治ってから　もう　どこへ　行っても　あの　まあ　元、元通りに　なったので　いい　なあと　いって　ね、いって　くださいますので　喜んでいますの。
1104607|１|korekara moo cjoqto sono utaidemo keeko sjoo tomoukedo sorea nakanaka （３ NN） cjoqto ne （３ ee sorea nee nakanaka nee） dekeheNkedo moo sukosi mata ocicuitara （３ soo desu） iqpeN mata aNtano （３ hNN） sono biseeo kikasite （３ ija） morawaNto （３ ija） osii jooni omousi…|これから　もう　ちょっと　その　謡いでも　けいこ　しよう　と思うけれど　それが　なかなか　ちょっと　ね　（３　ええ　それが　ねえ　なかなか　ねえ）　できないけれど　もう　すこし　また　落ちついたら　（３　そう　です）　いっぺん　また　あなたの　その　美声を　聞かせて　（３　いえ）　もらはないと　（３　いえ）　惜しい　ように　思うし…
1104612|３|honai outaiwa nee （１ hNN） sukidesitakedomo bjookino tokini nee moo uto anoo koe dasitemo ikaNte juute juwaretekara okeeko jamemasitajoqteni sukiwa sukidesukeredomo moo ima mo akasimaseN ha akaheN…|そんなに　お謡いは　ねえ、好きでしたけれど　病気の　ときに　ねえ　もう　あの　声　出しても　いけないと　いって　言われてから　おけいこを　やめましたので　好きは　好きですけれども　もう　いまは　もう　だめです。だめ… 
1104616|１|ija sojakedo jaqpari utawanaNdara mo joke utaeN jooni narimasu|いや　そうだけど　やっぱり　歌わなかったら　もう　いっそう　歌えない　ように　なります。
1104701|３|soNde ma tanosimini nee （１ hNN） jaqpari minasaNto iqsjoni （１ hNN） outaidemo utotetara nee （１ hNNhNN） … ma hurui kataa nee sasoote kurehaqto （１ hNN） jaqpari anoo josete morote hoite iqsjoni nee （１ hNN） tanosimasite morau NN sorea maa eeto omoimasu soide maamaa sonaini juuteru aidani karadamo zjoobuni naqtasi mainici konaini anoo ma oNnasi koto kurikaesuudakedemo nee
（１ hNN） ano karadaa iokeru cjuu kotoa ariataito omote atasirano tomodacidemo mina ano jowai hitojara nee （１ hNN） iroirona hitoa arimasujoqteni （１ hNN） soo omotara watasja ma keqkooja omote nee （１ hNN） jorokoNdemasuNdesu （１ hN）|それで　ま　楽しみに　ねえ　やっぱり　皆さんと　いっしょに　お謡いでも　歌っていたら　ねえ、ま　古い　かたが　ね　さそって　くださると　やっぱり　あのう　寄せて　もらって　そして　いっしょに　ねえ　楽しませて　もらう　それが　まあ　いいと　思います。それで　まあまあ　そんなに　言ってる　間に　体も　丈夫に　なったし　毎日　こんなに　あの　ま　同じ　ことを　くりかえすだけでも　ね、あの　体が　動ける　という　ことが　ありがたいと　思って　わたしたちの　友だちも　みんな　あの　弱い　人やら　ね、いろいろな　人が　ありますから。そう　思ったら　わたしは　ま　結構だと　思って　ね、喜んでいますんです。
1104712|１|（３ dee） … koN ko atasimo kinoo soo omotaN konooro ne jaqpari moo sono iroNna cuikara cuie are are sitai kore sitai tomote ko （３ hNN） akuseku  （３ hNN） omoote ne kurasuuto qto kaeqte naNka ko joozini owareteru joona kia surukara （３ hNN） koredewa nee hoNtoni kono ziNseeo tanosimute juu kotomo dekinaisi jaqpari kjoo icinicia icibaN daizijakara kjoowa ma tanosii kurasoto omouto （３ soo desu） huqto nee （３ hNN） jaqpari haq kokode ocicukana ikaNno ja naato〔omote〕 mata kjoono koto omoidasimaqsjaro de mata zuuqto hcna kjoowa ma hajo soozi site minasaNa oideni narumadeni cjaaNto kokora katazukete maa sorekara mata e sono dooju huuni kawaqte ikuka siraNkedomo ma kono nee kotomo sono toki sono tokino sono bano eo kaite itara eenjakarato omotara naNka kjoo icinici ko guqto tanosiju naqte kite ne|この　こう　わたしも　きのう　そう　思ったの。このごろ　ね、やっぱり　もう　その　いろいろな　次から　次に　あれ　あれ　したい　これ　したい　と思って　こう　あくせく　思って　ね　暮らすと　すると　かえって　なにか　こう　用事に　追われる　ような　気が　するから　これでは　ねえ　ほんとに　この　人生を　楽しむと　いう　ことも　できないし、やっぱり　きょう　一日が　一番　大事だから　きょうは　ま　楽しく　暮らそうと　思うと　（３　そう　です）　ふっと　ねえ、やっぱり　ここで　おちつかなければ　いけないの　だ　なあと〔思って〕　また　きょうの　ことを　思いだしますでしょう。で　また　ずっと　そんなら　きょうは　ま　早く　そうじを　して、皆さんが　おいでに　なるまでに　ちゃあんと　ここらを　かたづけて、まあ　それから　また　その　どういう　ふうに　変わって　いくか　知らないけれども、ま　この　ねえ　ことも　その　とき　その　ときの　その　場の　絵を　かいて　いたら　いいのだからと　思ったら　なにか　きょう　一日　こう　ぐっと　楽しく　なって　きて　ね。
1104810|３|soo dosu naa|そう　です　ねえ。 
1104811|１|〔de koqkara ano sore…〕 hakujuusaNno na （３ haahaa） kakezio ne （３ hNN） kjowa sono nanio kakejookasiraN to omote hede （３ hNN） hakujuusaN kaketaNdesu jo （３ heehee） doositemo sono ocicuku cjuu kotoa na （３ haa daizi dosu naa） daizi dosu naa （３ hNN）|〔で　ここから　あの　それ…〕　はくゆうさんの　な　掛軸を　ね　きょうは　その　何を　掛けようかしら　と　思って、それで　はくゆうさん　掛けたんです　よ。どうしても　その　おちつく　という　ことが　ね、　（３　はあ　だいじ　です　ね）　大事　です　ね。
1104901|３|soa hoNmani soo dosuwa （１ h） anoo hakujuusaNmo nee （１ hNN） icumo anoo dozjo nee josete morotemo mina aNzjoo juute moote （１ hNN） hakujuusaNN tokimo ohanasi kikasite moote ma konoorowa soju ohanasibaqkari kikasite morauNa tanosimide （１ hN） anoo uu … desu nee maamaa anoo sono hiio buzini suosasite morauqte juu kotoa hoNmani ano ariataito omote nee anoo jorokoNde masujoqteni NN …|そりゃ　ほんとに　そう　ですね。あのう　はくゆうさんも　ねえ、いつも　あの　道場　ね　寄せて　もらっても　みんな　うまく　言って　もらって、はくゆうさんの　ときも　お話を　きかせて　もらって、ま　このごろは　そういう　お話ばかり　聞かせて　もらうのが　楽しみで　あの　う　…　です　ね。まあまあ　あの　その　日を　無事に　過させて　もらって　いう　ことが　ほんとに　あの　ありがたいと　思って　ね、あの　よろこんで　いますので…　 
1104908|１|naNbo kiitemo kiitemo nee （３ NN） kono ziqkoo cjuu kotoa atasi hoNtoni mucukasiito （３ NN） moo konooro simizimi omouno （３ hNN）|いくら　聞いても　聞いても　ねえ。この　実行と　いう　ことが　わたし　本当に　むずかしいと　もう　このごろ　しみじみ　思うの。
1104910|３|otoikjuuno nee （１ hNN hNN） irete itadaitekara anoo atasimo soo omoimasu（１ hNN） …ni naNdemo nai jona kotoa mucukasii cjuu kotoo nee konooro moo nee （１ soo desu naa） omoimasujoqteni （１ hNN） hode NN icumade maa anoo cuzukuka siraNkedo ma juqkuri juqkuri sasite （１ hNN） juqkuri kaNaesasite morote sosite maamaa anoo naN ciimasuka anoo sue maqto maa simaio rakuni （１ hNN） kokoroo rakuni （１ hNNhNN） nee sasite morooNa iqci eeto omoimasujoqte moo gotai…|〔意味不明〕　ね　入れて　いただいてから　あの　わたしも　そう　思います。…に　なんでも　ない　ような　ことが　むずかしい　という　ことを　ねえ、このごろ　もう　ね　（１　そう　です　ね）　思いますので　それで　んん　いつまで　まあ　あの　続くは　知らないけど　ゆっくり　ゆっくり　させて、ゆっくり　考えさせて　もらって　そして　まあまあ　あの　何と　いいますか　あの　末、もっと　まあ　しまいを　楽に　心を　楽に　ねえ　させて　もらうのが　いちばん　いいと　思いますので  もう　五体…
