（２）土佐のオナゴのよもやま放談

録音日時　１９６７年１月８日
録音場所　農家（高知市朝倉米田）

話し手
（略号）　（氏名）　（性別）　（生年）　（職業）　（居住歴）
　Ｋ　　　川添繁尾　　女　　明治２７年生　製米業　高知市朝倉でうまれ、２３才から                                                  １０年ぐらい神戸居住、以後朝倉　Ｓ　　　栄枝千代　　女　　大正元年生　　農業　　高知市朝倉でうまれ、１９才から                                                  ６年間香川県居住、以後朝倉
　Ｘ　　　不明

解説：　七十台と五十台との婦人が、服装・食物・家のあかり、神祭その他について、思い出を興味深く語る。マッコト・タマルカなど強調的な語いが随所にあふれ、きかぬ気の土佐人気質を反映している。
［注］この会話にはoverlapがしばしばあらわれる。意気投合した者同志が話をしていて、話が調子に乗って来るとこうした現象をおこすのは、むしろ自然の行き方かも知れない。

0502309|Ｋ|se:kara hora ima~dja:qtara suito:~dja: naNdja: ju:keNdo soNna moNga arukane: taka: imano kowa tokuzejo maqkoto nanja:ro kajaro|それから　ほら　今だったら、水筒だ　何だと　いうけれど、そんな　ものが　あるのかねえ。全く　今の　子は　得だよ　ほんとに。何や　かや。
0502312|Ｓ|rjuqku-saqku~dja nanja:ro suito:~dja: ju:jona mono: kakete iku~ga mukasja omaN usiroe hurosikie|リュックサックだ　何とか　水筒だのと　いうような　ものを　かけて　行くが。昔は　あなた　うしろへ　ふろしきへ。
0502315|Ｋ|sore~ga e: tokoro~djaqtaki hora|それが　いい　ところだったから　ほら。
0502316|Ｓ|so: so: siroi hurosiki~ga e: tokorojo|そう　そう　白い　ふろしきが　いい　ところよ。
0502401|Ｋ|e: tokoro~djaqtakine: jo~gorekajaqtekara［27］ se:kara mjo:na zo:rjo･ horja: kokoe turikuqtekara ano: jokoqtjoe jokoqtjoe turikuqtekara se:kara ima~dja･qtara omaN seNsei~ga daresore: ju:te namae jo:~dara［28］ hai~dja ju:te ju:keNdo sono zibuNnja ai~dja i:joqtazejo ai ju:tara zjo:to:~djaqtazejone: hai~dja: ju:te ju:jo:na kota: nakaqtaki hora: soreba: taka:|いい　ところだったからねえ。ひどくよごれて、それから　変な　ぞうりを　ほら　ここへ　つってから、あのう　横の方へ　横の方へ　つってから。それから　今だったら、あなた　先生が　誰それと　言って　名前を　呼んだら、ハイだなんて　言って　言うけれど、その　時分にゃ　アイなんて　言っていたよ。アイ　と言ったら　上等だったよねえ。ハイだなんて　言って　いうような　ことは　無かったから、ほら。それぐらい　ほんとに。|［27］jo~gorekajaruは、jo~goreruの強調形。hjo:~gekajaru（ふざける）［28］この形は中年以上の人が使用する。（若い世代はjoNdaraである。）ほかにko:da（噛んだ）to:de（飛んで）o:da（編んだ）などがある。
0502409|Ｓ|jo: se:kara maekakeo site itano:|よう、それから　前かけを　して　いたねえ。
0502410|Ｋ|N: so: so:|んー、そう、そう。
0502411|Ｓ|mukasino hitowa mukasino kowa maekakjo na~gai maekakjo site jo: gaqko:e itaga|昔の　人は　昔の　子は　前かけを、長い　前かけを、して、よく　学校へ　行ったが。
0502413|Ｋ|makoto gaqko:e ikuni maekakjo sita arja do: ju: moNdjaqtaro: horja sekara omaN ijarasi: hanasi~djakeNdo obeNzjo ite maekake teo huitari sitene: ima tjaNto tenu~guio ko:site 〔itju:〕 imawa mo: tjaNto namaeo kaitju:ki wari: kota serareNzejo omaN zibuNno namaeo tjaNto mune: kaitja･uki horja|ほんとに　学校へ　行くのに　前かけを　した。あれは　どう　いう　ものだったろう　ほら。それから　あなた　いやらしい　話だけれども、お便所へ　行って　前かけで　手を　ふいたり　してねえ。今　ちゃんと　手ぬぐいを　こうして　〔している。〕　今は　もう　ちゃんと　名前を　書いているから、悪い　事は　してはいけないよ。あなた　自分の　名前を　ちゃんと　胸へ　書いてあるから　ほら。
0502504|Ｓ|se:kara omaN atja: omaN ano: nanino simano kimono: oqte moro:te soreo ki:te ite tama:ruka hotaejoqte tukueno sumino ku~gie hiqkakete tamaruka ka~gizjakinisite mo~doqte kite taite dukareta koto: e: wasureNga:|それから　あなた　わたしは　あなた　あのう　何の　縞〔しま〕の　着物を　織って　もらって、それを　着て　行って　たいへんたいへん　たわむれさわいでいて、机の　隅の　釘へ　ひっかけて、おやおや　鍵の形に裂いて　もどって　来て、ひどく　しかられた　ことを　よう　忘れんが。
0502509|Ｋ|omaNra:mo taitja wari koto suru~gajaqturo mo: imawa mo: wari koto se: ju:tati tosi joqte e: seNkeNdo sono zibuNnja taitja wari koto sijoqturo:kini［29］|あなたたちも　ずいぶん　わるさを　する者だったろう、もう　今は　もう　わるさを　しろと　言っても　年　よって　することができぬけれど。その　時分にゃ　ずいぶん　わるさを　していただろうから。|［29］sijoqturo:は、若い世代ならsijoqtaro:
0502513|Ｓ|taitja sita sita|ずいぶん　した、した。
0502514|Ｋ|se:kara hora se:kara omaN ano: kimonojaramo so:~djaqtakeNdo|それから　ほら　それから　あなた　あのう　着物なども　そうだったけれど。
