（ロ）食糧事情のこと

0406608|Ｋ|zibuNde aside cuita （Ｍ hu:N） asinina nae: ki sono sakini cjo:do kinemite:namoNna heqcuitoru moNjade koqcide humutose:a toNko toNko aaruNjawa|自分で、足で　ついた。（Ｍ　フーン）　足にね　長い　木…　その　先に　恰度　きねの様なものがね、くっついている　ものだから、こちらで　踏むと　トンコ　トンコ　上るんだよ。
0406612|Ａ|sojaqte miNna ucide cuitaNja sorekara suisja deqteqtena|そうやって　皆　家で　ついたんだ。それから、水車が　できてきてね。
0406614|Ｍ|de hucu:wa okomewa muito ciau jacu are cukaheNkane|で、ふつうは　お米は？　麦と　違う　もの、あれは　つかないのかね？
0406616|Ｋ|okome cuitajo|お米は　ついたよ。
0406701|Ｍ|okomemo zibuNde cuitano iede|お米も　自分で　ついたの？　家で、
0406702|Ａ|taberu okome|食べる　お米。
0406703|Ｋ|muiwa ano zibuN dokode cuitemona ume: koto cukeNdena: huNde kurumajade cuite maqtaNja|麦は　あの　頃　どこで　ついてもね、うまく　は　つけなくてねー、それで　車屋で　ついて　もらったんだよ。
0406706|Ｍ|iqsjo:biNde okome cuita|一升瓶で　お米を　ついた？
0406707|Ｋ|soNna zibuNwa ano: seNso:zibuNdesuwana: miNna h:kju:no stoana: ero: ano: ima terebide jaqte gozaru ohanasaN icumo kamo iqsjo:biNno nakade cuite gozaru|そんな　頃は、あの　戦争中の頃ですよねー、昔　配給の　人がねー、大変、あのー、今　テレビで　やって　いられる　おはなさん、いつも　かも　一升瓶の　中で　ついて　いられる。
0406711|Ｍ|hu:N soNna koto aqtano|フーン、そんな　事が　あったの？
0406712|Ｋ|huN sojaqtena: miNna ho: kuroideqsjaro kurome:de moraqtemo sjoNne: moNjade miNna macino stowa ano iqsjo:biNno nakadena kojaqte cuqcukinahaqtaenawana: watasira: hoNna koto jaqta koto ne:kedona: （Ａ ho:zja） kurotemo jaqpa suisjade cuitarinaNka simastakedona:|フン、そうやってねー、皆　黒いでしょう、玄米で　もらっても　しょうがない　ものだから、皆　町の　人は　あの、一升瓶の　中でね、こうやって　つっつきなさったそうだよねー。私等は　そんな　事を　やった　事が　ないけれどねー。（Ａ　そうだよ）　玄米でも　やはり　水車で　ついたりなんか　しましたけれどねー。
