（ハ）日照りのこと

0408102|Ａ|gi:doqbo:Nko usirode hoto nawahikizja a jo:ijoiqtena 《笑》 auruikini usirode nawa hiqparuNzjana hoto ta:qto taNboe kurude mata gi:qte jo:icjoqto usirode cunahikiqte hu:Ntonina: okome sitocubo huNna moNzjaqta imawa hacudo:kide inehikise sja soNde i:de toqto toqtoto sitori aaqtoruzjaro uciataridemo u:Nna mo haN ba:cjaNtademo ka:radade hote mada sono :dani tokimizuhikini hasiraNnaraNsina: heqte idode da:remo curube usiromo hiqpaqte kureheN ome:ra gaqko:e iqtoqtade sosite ome: ba:cjaN sitori na:Ni site ko:jaqte doqpo:N|ギードッボーンコ、後で、そうすると、縄引きだよ。「ア　ヨーイヨイ」といってね　《笑》、上げる時に、後で　縄を　引っぱるんだね。そうすると、ターッと　田んぼへ　来るから、又　ギーといって、「ヨーイショ」っと　後で　綱引きして。本当にねー、お米　一粒、そんな　ものだった。今は　発動機で　稲引きさえ　すれば　それで　よいから　トット　トットと　ひとりでに　上っているでしょう。家等でも　そんな　もの、ハン、婆さん達でも　河原田で。そして、まだ　その　間に　時水引きに　走らなければならないしねー。そして、井戸で　誰も　釣瓶の　後も　ひっぱって　くれない、お前らは　学校へ　行っていたので。そして　お前、婆さん〔自分〕　一人が　難儀を　して、こうやって　ドッポーン…
0408115|Ｍ|watasi umaretoraheNne maNda|私は　生まれていないね、まだ。
0408116|Ｋ|umaretoraheNjaro: maNda curubede kuNda jona koto araheNjaro|生まれていないだろう、まだ。釣瓶で　汲んだ　様な　事は　ないだろう。
0408202|Ａ|na:ni kono kowa ma:|いーえ、この　子は　まー。
0408203|Ｍ|umaretoraheNjo watasi|生まれていないよ、私は。
0408204|Ａ|u:N ba:cjaNta|ウーン、婆さん〔自分〕達は…
0408205|Ｋ|a: ka:rade: kakeni iqta zibuN umaretorahenaNda ka:radade kaetawana ka:radaN tokini asokono saNme:de kaetawana|アー、河原田へ　かけに　行った　頃は　生まれていなかった。河原田で　かえたよね。河原田の　時に、あそこの　墓場で　かえたよね。
0408208|Ａ|saNme: josarina nizika saNzinina: tokimizu aqta atona: hoqto soede ano hasino sitadena: bakecude cjoqpo:N de doNna gre: kakaqtasijaNto simono ho:no taNbo tatami nizjo:bakazucu mizu kakaqtoqta huNna moNzjaqtana huna kure: hideqtamona: （Ｍ hu:N） tokimizuni sono zikaNdake zibuNno|墓場、夜中にね、二時か　三時にねー、時水　そうすると、それで　あの　橋の　下でねー、バケツで　チョッポーン…　それで、どの　位　かかったかしらと〔思うと〕　下の　方の　田んぼに、畳　二畳ばかりずつ　水が　かかっていた。そんな　ものだったね。そんな　位　日照りがしたものねー。（Ｍ　フーン）　時水に、その　時間だけ、じぶんの…
0408215|Ｋ|ano saNme:no ano kure: tokoe kakeni ikuno ijazjaqtawa watasiwa （Ａ huNtoni） na: saNme:nona: maqkurokeno tokode kaetaNjaana: tokimizu kurutose:ana: nizika saNzi huqtose:a cuo: waruito kurujaro huqto sokoe kake ano kaeni ikuNjaana: tokimizuto iqsjonina: hos: moNjade mizua mizudakedewana: medono mizudake hos: moNjade huNde ano kaeba kaketaqtadena: miNna:|あの　墓場の、あの　暗い　所へ　かけに　行くのは　いやだったよ、私は。（Ａ　本当に。）　ねー、墓場のね、まっくらな　所で　かけたんだよねー。時水が　来るとねー、二時か　三時頃〔午前〕に。そうすると、つごうが　悪いと、来るでしょう。そうすると、そこへ　かけ、あの　かけに　行くんだがねー、時水と　一緒にねー。細い　ものだから、水が　水だけではねー、溝の　水だけ　細い　ものだから、それで、あの、カエバを　かけてやったのでねー、皆。
0408308|Ｍ|kaeba ju:te:|カエバと　いうのは？
0408309|Ｋ|mizu kaeru jacu|水を　かえる　もの。
0408310|Ａ|ba:cjaN ima ju:ta|お婆さんが　今　言った。…
0408311|Ｋ|sokoe hoNde kaeni iqtaNjana zikaNna kurumade|そこへ、それで、かえに　行ったんだよね、時間が　くるまで。
0408313|Ａ|huNde hasino sitade dojoNdorude soicuna bakecude kumiaete|それで、橋の　下で　よどんでいるから、それをね、バケツで　汲み上げて。
0408315|Ｋ|maqkurokejanoni saNmuinina: （Ｍ sitoride ikuno） a: aN otokono sitoto hutari iqtaNja （Ｍ hu:N）|まっくらだのに、寒いのにねー、（Ｍ　一人で　行くの？）　アー、あの、男の　人と　二人で　行ったの。（Ｍ　フーン）
0408402|Ａ|otokowa simono ho:de omaN doqpoNko jaruzja: onaowa hasino sitano do:joNda mizude omaN ko: jaqte hoqte simono ho:no iqpoNimade taNbona doNnakure:na: mizu mawaqtasijaNto moqte miniku tatamina: nizjo:bakazucu minakute pa:to mizu uqtoNno honamoNzjawa （Ｍ hu:N） hoNtozjana na:Ni site kita （Ｋ ho:Nzja）|男は　下の　方で、お前さん、「ドッポンコ」と　やるの。女は　橋の　下の　よどんだ　水で、お前さん、こう　やって。そして、下の　方の　一本木まで、田んぼのね、どの位ね、水が　まわったかしらと　思って　見に行くと、畳ねー　二畳ばかりずつ　水が　そんなものだよ。（Ｍ　フーン）　本当だね、難儀を　して　きた。（Ｋ　そうだ）
0408409|Ａ|tadosaNmacurino tokizja ano heNzjana:|多度さん〔神社名〕祭の　時だよ。あの　頃だよねー。
0408410|Ｋ|uN ano heNzjasa|ウン、あの　頃さ。
0408411|Ａ|joqka （Ｍ hu:N） joqka sono maekarana: tadosaNmacurikaqteqte toromacuri mini iqtorunoni doqbo:Nko dobo:Nkoto nizikaNbakazucu jaqte kuruNzjana: tatamini|四日、（Ｍ　フーン）　四日、その　前からねー、多度さん祭りといっても　〔他の人は〕燈籠祭を　見に　行っているのに、ドッポーンコ　ドボーンコと、二時間ばかりずつ　やって　くるんだよねー。畳に…
0408415|Ｋ|huNtoni ano jo:sari maqkurokeni ikunowa ijazjaqtawa watasimo jonakani nizika icizika nizioro ikuno icibaN ijajaqta|本当に、あの　夜中　真暗な時に　行くのは　いやだったよ。私も　夜中に　二時か　一時か、二時頃　行くのが　一番　いやだった。
0408502|Ａ|huNtoni simokawano jo:ni mizua takusaNnarana: rakuikedo kore jamaa cju: monowa mizua tasine:de （Ｍ hu:N） na:Ni site kitaNda: mukasino koto ju:to jo: ikitoru cju:na moNjana:|本当に、下川〔田の名〕の　様に　水が　たくさんならねー、楽だけれど、これ、山家　という　ものは　水が　乏しいから、（Ｍ　フーン）　難儀を　して　きたんだよ。昔の　事を　言うと、よく　生きている　という様な　ものだねー。
